REGIÓN;PROVINCIA;DISTRITO;CODIGO DEL RECURSO;NOMBRE DEL RECURSO;CATEGORÍA;TIPO DE CATEGORÍA;SUB TIPO CATEGORÍA;URL;LATITUD;LONGITUD;FECHA_DE_CORTE
Cusco;Anta;HUAROCONDO;6253;Lechon Huarocondino;3. FOLCLORE;Gastronomía;Platos Típicos;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6253;;;20230102
Cajamarca;San Pablo;SAN PABLO;6255;Sitio Historico De San Pablo;2. MANIFESTACIONES CULTURALES;Pueblos;Históricos;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6255;-78.8234857374344;-7.118197215491406;20230102
Cajamarca;Cajamarca;LLACANORA;6256;Apu Qayaqpuma;2. MANIFESTACIONES CULTURALES;Sitios Arqueológicos;Pintura Rupestre;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6256;-78.435561;-7.179382;20230102
Lima;Yauyos;HUANTAN;6258;Laguna Luncho;1. SITIOS NATURALES;g. Cuerpo de Agua;Lagunas;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6258;-75.781634;-12.426777;20230102
Arequipa;La Union;PUYCA;6260;Bosque De Puyas Raimondi;1. SITIOS NATURALES;Zonas paisajísticas;Bosques;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6260;-72.67443400000002;-14.925736;20230102
Arequipa;La Union;QUECHUALLA;6261;Bosques De Cactus De Judio Pampa;1. SITIOS NATURALES;Zonas paisajísticas;Bosques;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6261;-73.0161559581756;-15.263635454341143;20230102
Lima;Yauyos;VITIS;6262;Pueblo De Vitis;2. MANIFESTACIONES CULTURALES;Pueblos;Tradicionales;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6262;-75.80794500000002;-12.223983;20230102
Cajamarca;San Miguel;SAN SILVESTRE DE COCHAN;6263;Zona Arqueologica Fortaleza El Gerrullo;2. MANIFESTACIONES CULTURALES;Sitios Arqueológicos;Templos;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6263;;;20230102
Cajamarca;Cajabamba;CACHACHI;6265;Aguas Termales De Tabacal;1. SITIOS NATURALES;Agua termo-mineral;Aguas Termales;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6265;-78.3126882192459;-7.514045864841041;20230102
Cajamarca;Cutervo;CUTERVO;10750;La Cajita Cutervina;3. FOLCLORE;Músicas y Danzas;Música y Danzas;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=10750;;;20230102
Cajamarca;Cajamarca;JESÚS;6270;Cascada Del Tingo;1. SITIOS NATURALES;Caídas de agua;Cataratas;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6270;;;20230102
Cajamarca;Cajamarca;ASUNCIÓN;6271;Catarata De Chiquildo;1. SITIOS NATURALES;Caídas de agua;Cataratas;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6271;;;20230102
Cajamarca;Jaen;BELLAVISTA;6272;Bosque Yanahuanca;1. SITIOS NATURALES;Zonas paisajísticas;Bosques;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6272;;;20230102
Cajamarca;Cajamarca;ASUNCIÓN;6274;Cascadas De Marra;1. SITIOS NATURALES;Caídas de agua;Cataratas;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6274;;;20230102
Lima;Yauyos;VITIS;6275;Mirador De Huallugina;1. SITIOS NATURALES;Zonas paisajísticas;Miradores naturales;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6275;-75.80777562698364;-12.225650126925062;20230102
Lima;Yauyos;VITIS;6276;Laguna De Piquecocha;1. SITIOS NATURALES;g. Cuerpo de Agua;Lagunas;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6276;-75.81106799999998;-12.252279;20230102
Cajamarca;Cajamarca;CHETILLA;6277;Pueblo Tradicional De Chetilla;2. MANIFESTACIONES CULTURALES;Pueblos;Tradicionales;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6277;-78.67274299999997;-7.146842;20230102
Cajamarca;San Ignacio;SAN IGNACIO;6278;Laguna Faical;1. SITIOS NATURALES;g. Cuerpo de Agua;Lagunas;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6278;-79.002342;-5.1465764;20230102
Cajamarca;Contumaza;CHILETE;6279;Valle Del Alto Jequetepeque;1. SITIOS NATURALES;c. Valles;Valles;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6279;-78.83973700000001;-7.221345;20230102
Cajamarca;Jaen;JAÉN;6280;Catarata San Andres;1. SITIOS NATURALES;Caídas de agua;Cataratas;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6280;;;20230102
Cajamarca;Cutervo;SANTO TOMAS;6281;Cascada Pichilora;1. SITIOS NATURALES;Caídas de agua;Cataratas;http://ficha.sigmincetur.mincetur.gob.pe/index.aspx?cod_Ficha=6281;;;20230102
